incident_id,district,category,severity,status,incident_date,location,description,officer,latitude,longitude
INC-016,Bengaluru Urban,Assault,High,Under Investigation,2025-02-01,Jayanagar,Assault on auto driver over fare disagreement,PSI Anitha Reddy,12.9886,77.5771
INC-017,Bengaluru Urban,Cybercrime,High,Under Investigation,2025-02-01,Koramangala,UPI fraud — victim lost money via fake payment request link,PSI Harish B.,12.9453,77.6451
INC-018,Ballari,Theft,Medium,Under Investigation,2025-02-01,Cowl Bazaar,Two-wheeler stolen from Cowl Bazaar residential parking area during night hours,PI Deepak Joshi,15.1055,76.9587
INC-019,Yadgir,Fraud,Medium,Closed,2025-02-01,Station Area,Matrimonial fraud extracting money from victim family,PSI Rajesh Kumar,16.744,77.1391
INC-020,Bengaluru Urban,Theft,Low,Open,2025-02-01,Electronic City,Agricultural pump motor theft from farm shed overnight,PSI Anitha Reddy,13.0306,77.6226
INC-021,Haveri,Theft,Low,Open,2025-02-02,Ranebennur Cross,Copper wire theft from construction site reported by site supervisor,PI Ganesh Murthy,14.7489,75.3956
INC-022,Bengaluru Urban,Domestic Violence,Medium,Open,2025-02-04,Electronic City,Domestic violence complaint filed by spouse at police station,PSI Rajesh Kumar,13.0229,77.5849
INC-023,Tumakuru,Kidnapping,High,Open,2025-02-05,Kyathsandra,Attempted kidnapping foiled by bystanders near school,ASI Kavitha B.N.,13.369,77.1005
INC-024,Bengaluru Urban,Assault,High,Under Investigation,2025-02-05,Jayanagar,Assault on auto driver over fare disagreement,PSI Harish B.,12.983,77.6149
INC-025,Ballari,Theft,Medium,Under Investigation,2025-02-05,Toranagallu Road,Bicycle stolen from apartment compound entrance,ASI Priya Shetty,15.1131,76.926
INC-026,Koppal,Drug Offense,High,Closed,2025-02-07,Karatagi,Synthetic drug distribution network bust in urban area,PSI Divya Hegde,15.4104,76.1115
INC-027,Bengaluru Urban,Theft,Medium,Under Investigation,2025-02-10,Whitefield,Bicycle stolen from apartment compound entrance,PSI Anitha Reddy,12.9167,77.5729
INC-028,Ramanagara,Theft,Low,Open,2025-02-11,Magadi Road,Bicycle stolen from apartment compound entrance,PI Ganesh Murthy,12.7345,77.2947
INC-029,Kalaburagi,Assault,High,Under Investigation,2025-02-15,Malkhed Road,Physical assault following road rage incident at traffic junction,PI Nandini Gowda,17.2886,76.8356
INC-030,Ramanagara,Domestic Violence,High,Under Investigation,2025-02-17,Channapatna,Domestic violence complaint filed by spouse at police station,PI Nandini Gowda,12.709,77.3189
INC-031,Mandya,Assault,Medium,Under Investigation,2025-02-19,Srirangapatna,Physical assault following road rage incident at traffic junction,PSI Ramesh H.R.,12.5443,76.8812
INC-032,Belagavi,Fraud,Medium,Open,2025-02-20,Tilakwadi,Job recruitment scam collecting fees via social media,ASI Kavitha B.N.,15.8279,74.5415
INC-033,Uttara Kannada,Theft,Low,Under Investigation,2025-02-20,Karwar Port,Agricultural pump motor theft from farm shed overnight,PSI Divya Hegde,14.7913,74.638
INC-034,Belagavi,Theft,Medium,Open,2025-02-22,Camp Area,Cash theft from shop counter while owner was distracted,PI Suresh Naik,15.9017,74.4617
INC-035,Vijayanagara,Burglary,Medium,Under Investigation,2025-02-23,Kudligi Road,Attempted burglary foiled by alarm system at warehouse,PI Suresh Naik,15.327,76.5074
INC-036,Hubballi-Dharwad,Drug Offense,Critical,Open,2025-02-23,Gokul Road,Cross-border drug trafficking interdiction at highway check post,ASI Manjunath S.,15.409,75.116
INC-037,Chitradurga,Fraud,High,Closed,2025-02-23,NH Bypass,Investment scam promising high returns to local traders,PI Shweta Rao,14.2676,76.376
INC-038,Mysuru,Assault,Medium,Closed,2025-02-23,Vijayanagar,Assault with blunt object during property dispute altercation,PI Nandini Gowda,12.2528,76.6071
INC-039,Mandya,Burglary,Medium,Under Investigation,2025-02-25,Pandavapura,Office burglary — computer equipment and documents stolen,PSI Harish B.,12.4694,76.8569
INC-040,Kolar,Robbery,Critical,Under Investigation,2025-03-02,Tamaka,Highway robbery of cash-carrying courier van,ASI Meena Kumari,13.1277,78.1666
INC-041,Bengaluru Urban,Cybercrime,Medium,Closed,2025-03-02,Hebbal,UPI fraud — victim lost money via fake payment request link,PI Deepak Joshi,12.9429,77.539
INC-042,Yadgir,Fraud,High,Closed,2025-03-02,Shahpur,Investment scam promising high returns to local traders,PI Shweta Rao,16.7787,77.1317
INC-043,Belagavi,Cybercrime,High,Closed,2025-03-04,Shahapur,Ransomware attack on SME server with data encryption,PSI Harish B.,15.893,74.5429
INC-044,Ballari,Domestic Violence,High,Open,2025-03-04,Cowl Bazaar,Dowry-related harassment complaint registered by victim,PI Deepak Joshi,15.1334,76.9427
INC-045,Vijayapura,Robbery,Critical,Open,2025-03-04,Almel,ATM customer robbed at knifepoint after withdrawal,PI Shweta Rao,16.8196,75.6715
INC-046,Ballari,Burglary,High,Open,2025-03-05,Cowl Bazaar,Office burglary — computer equipment and documents stolen,PSI Vijay Patil,15.1436,76.8744
INC-047,Bengaluru Urban,Assault,High,Under Investigation,2025-03-08,Yelahanka,Physical assault following road rage incident at traffic junction,PSI Ramesh H.R.,12.9624,77.5547
INC-048,Chitradurga,Fraud,Medium,Closed,2025-03-09,Medehalli,Investment scam promising high returns to local traders,ASI Priya Shetty,14.2662,76.4415
INC-049,Vijayapura,Robbery,High,Closed,2025-03-11,Almel,Armed robbery at jewellery store during business hours,PI Prakash Babu,16.8631,75.7362
INC-050,Bidar,Domestic Violence,Medium,Closed,2025-03-13,Manna Ekhelli,Domestic assault during family dispute — victim hospitalized,PSI Anitha Reddy,17.8643,77.4733
INC-051,Mysuru,Robbery,High,Open,2025-03-19,Gokulam,Highway robbery of cash-carrying courier van,ASI Kavitha B.N.,12.3018,76.6223
INC-052,Mysuru,Cybercrime,Critical,Open,2025-03-20,Bannimantap,OTP fraud targeting elderly citizen through impersonation call,ASI Lakshmi Devi,12.2389,76.6481
INC-053,Bengaluru Urban,Robbery,High,Open,2025-03-20,Jayanagar,Highway robbery of cash-carrying courier van,PSI Anitha Reddy,12.9443,77.648
INC-054,Kolar,Domestic Violence,Medium,Closed,2025-03-25,Andersonpet,Protection order sought following repeated harassment at home,PI Ganesh Murthy,13.1159,78.1344
INC-055,Hubballi-Dharwad,Cybercrime,Critical,Open,2025-03-29,Deshpande Nagar,Ransomware attack on SME server with data encryption,PSI Arun Kulkarni,15.3264,75.1483
INC-056,Gadag,Robbery,Critical,Under Investigation,2025-03-30,Betageri,Snatch-and-run robbery of business cash collection,ASI Sunitha M.,15.418,75.6475
INC-057,Dakshina Kannada,Robbery,Critical,Closed,2025-04-02,Kadri,ATM customer robbed at knifepoint after withdrawal,ASI Priya Shetty,12.9341,74.8187
INC-058,Bengaluru Urban,Kidnapping,Critical,Closed,2025-04-03,Marathahalli,Kidnapping for ransom — victim abducted from workplace,PI Prakash Babu,13.0071,77.6269
INC-059,Raichur,Drug Offense,Critical,Open,2025-04-05,Sindhanur Road,Cross-border drug trafficking interdiction at highway check post,PSI Anitha Reddy,16.1567,77.3033
INC-060,Chitradurga,Cybercrime,High,Closed,2025-04-08,NH Bypass,UPI fraud — victim lost money via fake payment request link,PSI Arun Kulkarni,14.2205,76.3935
INC-061,Bengaluru Urban,Theft,Medium,Under Investigation,2025-04-09,Yelahanka,Cash theft from shop counter while owner was distracted,ASI Meena Kumari,13.019,77.6233
INC-062,Mandya,Fraud,Medium,Under Investigation,2025-04-11,Srirangapatna,Job recruitment scam collecting fees via social media,PSI Divya Hegde,12.5642,76.8758
INC-063,Uttara Kannada,Theft,Low,Closed,2025-04-11,Kumta Beach Road,Agricultural pump motor theft from farm shed overnight,PI Prakash Babu,14.7826,74.6811
INC-064,Hassan,Fraud,Medium,Closed,2025-04-12,BM Road,Loan fraud using forged identity documents,PI Nandini Gowda,13.0211,76.0832
INC-065,Hassan,Theft,Low,Closed,2025-04-19,Ramanathapura,Two-wheeler stolen from Ramanathapura residential parking area during night hours,PI Prakash Babu,12.972,76.0619
INC-066,Bengaluru Urban,Assault,High,Open,2025-04-20,BTM Layout,Physical assault following road rage incident at traffic junction,PI Mohan Gowda,12.9505,77.6209
INC-067,Bagalkot,Theft,Medium,Closed,2025-04-20,Navanagar,Bicycle stolen from apartment compound entrance,PI Mohan Gowda,16.1765,75.7164
INC-068,Bengaluru Urban,Assault,High,Closed,2025-04-22,BTM Layout,Assault with blunt object during property dispute altercation,PSI Arun Kulkarni,12.984,77.5704
INC-069,Kolar,Assault,Critical,Closed,2025-04-25,Tamaka,Assault with blunt object during property dispute altercation,PSI Anitha Reddy,13.0945,78.1508
INC-070,Bengaluru Urban,Assault,High,Under Investigation,2025-04-27,MG Road,Physical assault following road rage incident at traffic junction,PI Suresh Naik,12.9873,77.5752
INC-071,Mysuru,Theft,Low,Under Investigation,2025-04-29,Kuvempunagar,Agricultural pump motor theft from farm shed overnight,PSI Anitha Reddy,12.3247,76.6992
INC-072,Chamarajanagar,Theft,Medium,Under Investigation,2025-04-29,Kollegal Road,Laptop theft from unattended vehicle at parking lot,PSI Arun Kulkarni,11.9773,76.931
INC-073,Bagalkot,Theft,Low,Under Investigation,2025-04-30,Vidyagiri,Agricultural pump motor theft from farm shed overnight,PI Mohan Gowda,16.1231,75.6331
INC-074,Koppal,Cybercrime,High,Open,2025-05-02,Yelburga Road,Online shopping fraud — paid for goods never delivered,PI Mohan Gowda,15.2987,76.2055
INC-075,Bagalkot,Robbery,High,Under Investigation,2025-05-07,Navanagar,Armed robbery at jewellery store during business hours,PI Shweta Rao,16.1573,75.6727
INC-076,Bengaluru Urban,Burglary,Medium,Closed,2025-05-07,Indiranagar,Office burglary — computer equipment and documents stolen,PI Prakash Babu,13.0265,77.5715
INC-077,Bidar,Theft,Low,Closed,2025-05-08,Manna Ekhelli,Laptop theft from unattended vehicle at parking lot,ASI Sunitha M.,17.9604,77.5186
INC-078,Chamarajanagar,Robbery,Critical,Closed,2025-05-08,Hanur,Highway robbery of cash-carrying courier van,ASI Sunitha M.,11.9803,76.8897
INC-079,Bengaluru Urban,Theft,Medium,Open,2025-05-08,Koramangala,Gold chain snatching near Koramangala market during peak shopping hours,PI Deepak Joshi,12.944,77.5704
INC-080,Dakshina Kannada,Cybercrime,High,Under Investigation,2025-05-12,Hampankatta,OTP fraud targeting elderly citizen through impersonation call,ASI Manjunath S.,12.8998,74.8518
INC-081,Bengaluru Urban,Drug Offense,Critical,Open,2025-05-14,Whitefield,Synthetic drug distribution network bust in urban area,PI Ganesh Murthy,13.0088,77.575
INC-082,Chamarajanagar,Murder,Critical,Open,2025-05-15,Kollegal Road,Contract killing suspected in business rivalry case,PI Shweta Rao,11.9156,76.9631
INC-083,Bengaluru Urban,Theft,Low,Open,2025-05-15,Hebbal,Gold chain snatching near Hebbal market during peak shopping hours,ASI Kavitha B.N.,12.9216,77.5805
INC-084,Bengaluru Urban,Domestic Violence,Medium,Open,2025-05-17,Hebbal,Dowry-related harassment complaint registered by victim,PI Ganesh Murthy,12.9752,77.6163
INC-085,Shivamogga,Assault,Critical,Closed,2025-05-19,Bhadravathi Road,Assault on auto driver over fare disagreement,PSI Ramesh H.R.,13.9147,75.5875
INC-086,Bengaluru Urban,Robbery,Critical,Closed,2025-05-20,Whitefield,Highway robbery of cash-carrying courier van,ASI Lakshmi Devi,13.0035,77.6193
INC-087,Shivamogga,Robbery,High,Closed,2025-05-22,Durgigudi,ATM customer robbed at knifepoint after withdrawal,PI Shweta Rao,13.8862,75.5451
INC-088,Hubballi-Dharwad,Theft,Low,Under Investigation,2025-05-23,Vidyanagar,Mobile phone snatching near bus stand by motorcycle-borne offenders,PI Ganesh Murthy,15.3853,75.0917
INC-089,Bengaluru Urban,Fraud,High,Open,2025-05-27,Whitefield,Investment scam promising high returns to local traders,PI Ganesh Murthy,13.0228,77.5906
INC-090,Vijayanagara,Drug Offense,Critical,Open,2025-05-29,Kottur Cross,Cross-border drug trafficking interdiction at highway check post,PI Suresh Naik,15.3431,76.4868
INC-091,Udupi,Cybercrime,High,Closed,2025-06-03,Malpe,Ransomware attack on SME server with data encryption,PI Nandini Gowda,13.3896,74.7374
INC-092,Mysuru,Theft,Low,Closed,2025-06-03,Nazarbad,Laptop theft from unattended vehicle at parking lot,PI Suresh Naik,12.2485,76.5939
INC-093,Bengaluru Urban,Fraud,Medium,Under Investigation,2025-06-03,Electronic City,Job recruitment scam collecting fees via social media,ASI Kavitha B.N.,12.9832,77.6205
INC-094,Belagavi,Theft,Medium,Under Investigation,2025-06-05,Tilakwadi,Copper wire theft from construction site reported by site supervisor,PSI Harish B.,15.798,74.4862
INC-095,Mysuru,Theft,Medium,Open,2025-06-07,Gokulam,Agricultural pump motor theft from farm shed overnight,ASI Meena Kumari,12.2527,76.5915
INC-096,Mysuru,Cybercrime,High,Closed,2025-06-07,Saraswathipuram,OTP fraud targeting elderly citizen through impersonation call,ASI Meena Kumari,12.3161,76.6202
INC-097,Ramanagara,Robbery,Critical,Under Investigation,2025-06-09,Channapatna,Highway robbery of cash-carrying courier van,PI Deepak Joshi,12.6963,77.2377
INC-098,Bengaluru Urban,Robbery,High,Closed,2025-06-10,Yelahanka,Armed robbery at jewellery store during business hours,PSI Ramesh H.R.,13.014,77.5743
INC-099,Mysuru,Theft,Medium,Closed,2025-06-10,Nazarbad,Copper wire theft from construction site reported by site supervisor,PSI Divya Hegde,12.3166,76.6863
INC-100,Mysuru,Burglary,High,Open,2025-06-13,Saraswathipuram,House break-in while family was away on vacation,PI Deepak Joshi,12.2619,76.6864
INC-101,Koppal,Cybercrime,High,Under Investigation,2025-06-13,Karatagi,UPI fraud — victim lost money via fake payment request link,PI Ganesh Murthy,15.4054,76.1061
INC-102,Dakshina Kannada,Domestic Violence,Medium,Under Investigation,2025-06-13,Bendoor,Protection order sought following repeated harassment at home,PSI Harish B.,12.8692,74.8314
INC-103,Bengaluru Urban,Assault,High,Under Investigation,2025-06-14,Marathahalli,Physical assault following road rage incident at traffic junction,PSI Divya Hegde,13.0016,77.6119
INC-104,Yadgir,Domestic Violence,High,Closed,2025-06-15,Saidapur,Domestic violence complaint filed by spouse at police station,ASI Lakshmi Devi,16.8306,77.1064
INC-105,Gadag,Theft,Low,Under Investigation,2025-06-20,Betageri,Mobile phone snatching near bus stand by motorcycle-borne offenders,PI Nandini Gowda,15.3941,75.5761
INC-106,Bengaluru Urban,Drug Offense,Critical,Open,2025-06-22,MG Road,Cross-border drug trafficking interdiction at highway check post,ASI Manjunath S.,12.9897,77.5411
INC-107,Udupi,Cybercrime,Critical,Under Investigation,2025-06-24,Kundapura Road,Online shopping fraud — paid for goods never delivered,PI Prakash Babu,13.3518,74.7567
INC-108,Vijayapura,Domestic Violence,Medium,Under Investigation,2025-06-24,Almel,Protection order sought following repeated harassment at home,PI Shweta Rao,16.8582,75.7161
INC-109,Hassan,Drug Offense,Critical,Under Investigation,2025-06-25,Arsikere Road,Synthetic drug distribution network bust in urban area,ASI Lakshmi Devi,13.0213,76.0462
INC-110,Bidar,Fraud,Medium,Closed,2025-06-25,Gumpa Area,Investment scam promising high returns to local traders,PSI Divya Hegde,17.8598,77.5272
INC-111,Mysuru,Cybercrime,Critical,Under Investigation,2025-06-26,Kuvempunagar,Ransomware attack on SME server with data encryption,PSI Anitha Reddy,12.3473,76.6573
INC-112,Hubballi-Dharwad,Robbery,Critical,Closed,2025-06-28,Unkal,ATM customer robbed at knifepoint after withdrawal,PI Suresh Naik,15.3424,75.1065
INC-113,Hubballi-Dharwad,Theft,Low,Under Investigation,2025-06-28,Unkal,Laptop theft from unattended vehicle at parking lot,ASI Meena Kumari,15.3487,75.0831
INC-114,Dakshina Kannada,Theft,Low,Closed,2025-06-29,Bendoor,Bicycle stolen from apartment compound entrance,PI Nandini Gowda,12.9283,74.8366
INC-115,Bengaluru Urban,Robbery,High,Open,2025-06-30,Jayanagar,Snatch-and-run robbery of business cash collection,ASI Sunitha M.,12.9308,77.5547
INC-116,Haveri,Burglary,Medium,Closed,2025-07-04,Byadgi Road,House break-in while family was away on vacation,PI Suresh Naik,14.8254,75.4572
INC-117,Hubballi-Dharwad,Burglary,Medium,Open,2025-07-07,Gokul Road,Commercial burglary at electronics shop after closing hours,PI Deepak Joshi,15.3437,75.0962
INC-118,Bengaluru Urban,Burglary,High,Under Investigation,2025-07-08,Whitefield,Office burglary — computer equipment and documents stolen,PI Prakash Babu,12.9513,77.5384
INC-119,Bengaluru Urban,Assault,High,Under Investigation,2025-07-09,MG Road,Physical assault following road rage incident at traffic junction,PSI Harish B.,13.0091,77.5445
INC-120,Bidar,Drug Offense,Critical,Closed,2025-07-11,Gumpa Area,NDPS seizure — contraband recovered during vehicle checkpoint,ASI Lakshmi Devi,17.9399,77.5764
INC-121,Hubballi-Dharwad,Domestic Violence,Medium,Open,2025-07-12,Gokul Road,Domestic violence complaint filed by spouse at police station,ASI Sunitha M.,15.3106,75.076
INC-122,Bengaluru Urban,Cybercrime,Critical,Open,2025-07-12,Jayanagar,OTP fraud targeting elderly citizen through impersonation call,ASI Meena Kumari,13.0046,77.5532
INC-123,Bengaluru Rural,Fraud,High,Under Investigation,2025-07-15,Nelamangala,Investment scam promising high returns to local traders,PI Mohan Gowda,13.2788,77.5537
INC-124,Vijayapura,Theft,Low,Under Investigation,2025-07-21,Almel,Mobile phone snatching near bus stand by motorcycle-borne offenders,PI Deepak Joshi,16.8571,75.7499
INC-125,Bengaluru Urban,Burglary,Medium,Under Investigation,2025-07-24,Jayanagar,Commercial burglary at electronics shop after closing hours,PI Suresh Naik,12.991,77.6155
INC-126,Bengaluru Rural,Theft,Medium,Closed,2025-07-24,Devanahalli,Cash theft from shop counter while owner was distracted,PI Deepak Joshi,13.2138,77.533
INC-127,Bengaluru Urban,Robbery,Critical,Open,2025-07-24,Yelahanka,Snatch-and-run robbery of business cash collection,PSI Rajesh Kumar,12.9118,77.6386
INC-128,Hubballi-Dharwad,Assault,High,Open,2025-07-25,Deshpande Nagar,Assault with blunt object during property dispute altercation,PSI Divya Hegde,15.4102,75.1488
INC-129,Shivamogga,Theft,Low,Open,2025-08-02,Vinoba Nagar,Mobile phone snatching near bus stand by motorcycle-borne offenders,PI Deepak Joshi,13.8716,75.5793
INC-130,Hubballi-Dharwad,Theft,Low,Open,2025-08-03,Gokul Road,Bicycle stolen from apartment compound entrance,PSI Vijay Patil,15.422,75.1387
INC-131,Belagavi,Murder,Critical,Closed,2025-08-07,Shahapur,Homicide reported following altercation at Shahapur residential premises,PSI Arun Kulkarni,15.8832,74.5406
INC-132,Koppal,Kidnapping,Critical,Under Investigation,2025-08-10,Kukanoor Cross,Attempted kidnapping foiled by bystanders near school,PSI Anitha Reddy,15.407,76.2083
INC-133,Bagalkot,Theft,Low,Under Investigation,2025-08-12,Badami Cross,Mobile phone snatching near bus stand by motorcycle-borne offenders,PSI Arun Kulkarni,16.1383,75.6668
INC-134,Shivamogga,Theft,Medium,Open,2025-08-15,Vinoba Nagar,Gold chain snatching near Vinoba Nagar market during peak shopping hours,PI Mohan Gowda,13.9362,75.561
INC-135,Chikkamagaluru,Theft,Low,Under Investigation,2025-08-16,Koppa Road,Bicycle stolen from apartment compound entrance,PSI Rajesh Kumar,13.3126,75.7719
INC-136,Raichur,Theft,Medium,Under Investigation,2025-08-20,Lingasugur Cross,Mobile phone snatching near bus stand by motorcycle-borne offenders,PSI Arun Kulkarni,16.1939,77.2986
INC-137,Bengaluru Rural,Theft,Medium,Closed,2025-08-20,Nelamangala,Laptop theft from unattended vehicle at parking lot,PI Ganesh Murthy,13.2105,77.5429
INC-138,Bengaluru Urban,Burglary,Medium,Closed,2025-08-21,Koramangala,Attempted burglary foiled by alarm system at warehouse,PI Nandini Gowda,12.9666,77.6493
INC-139,Chitradurga,Cybercrime,Critical,Under Investigation,2025-08-22,Devigiri,UPI fraud — victim lost money via fake payment request link,PI Suresh Naik,14.1822,76.4216
INC-140,Hubballi-Dharwad,Burglary,Medium,Closed,2025-08-23,Vidyanagar,Attempted burglary foiled by alarm system at warehouse,ASI Sunitha M.,15.3109,75.1149
INC-141,Kalaburagi,Fraud,High,Under Investigation,2025-08-31,Super Market,Matrimonial fraud extracting money from victim family,PI Shweta Rao,17.3057,76.8802
INC-142,Raichur,Theft,Medium,Closed,2025-09-03,Sindhanur Road,Gold chain snatching near Sindhanur Road market during peak shopping hours,ASI Priya Shetty,16.2575,77.3145
INC-143,Mysuru,Burglary,High,Closed,2025-09-03,Nazarbad,Commercial burglary at electronics shop after closing hours,PI Shweta Rao,12.3214,76.6166
INC-144,Bengaluru Urban,Drug Offense,High,Open,2025-09-04,Hebbal,Drug peddling near college campus — two suspects detained,ASI Meena Kumari,12.9794,77.5726
INC-145,Mysuru,Assault,Medium,Closed,2025-09-04,Gokulam,Group assault during local festival near temple premises,PI Mohan Gowda,12.2655,76.6901
INC-146,Dakshina Kannada,Theft,Low,Under Investigation,2025-09-05,Hampankatta,Mobile phone snatching near bus stand by motorcycle-borne offenders,PI Ganesh Murthy,12.8707,74.845
INC-147,Bengaluru Urban,Theft,Medium,Under Investigation,2025-09-05,MG Road,Two-wheeler stolen from MG Road residential parking area during night hours,PSI Ramesh H.R.,12.9834,77.6368
INC-148,Bengaluru Urban,Theft,Medium,Under Investigation,2025-09-06,Electronic City,Two-wheeler stolen from Electronic City residential parking area during night hours,PSI Ramesh H.R.,12.9477,77.5538
INC-149,Mandya,Robbery,Critical,Closed,2025-09-07,Mandya Town,ATM customer robbed at knifepoint after withdrawal,PSI Ramesh H.R.,12.4962,76.8548
INC-150,Mysuru,Burglary,High,Under Investigation,2025-09-07,Vijayanagar,Attempted burglary foiled by alarm system at warehouse,PI Ganesh Murthy,12.3454,76.6414
INC-151,Bengaluru Urban,Drug Offense,High,Closed,2025-09-09,Indiranagar,Synthetic drug distribution network bust in urban area,PI Prakash Babu,12.9897,77.5896
INC-152,Mysuru,Fraud,High,Closed,2025-09-12,Vijayanagar,Real estate fraud using forged property documents,ASI Manjunath S.,12.341,76.6828
INC-153,Kolar,Theft,Low,Open,2025-09-13,BEML Layout,Copper wire theft from construction site reported by site supervisor,PSI Ramesh H.R.,13.121,78.1835
INC-154,Hubballi-Dharwad,Theft,Medium,Under Investigation,2025-09-15,Unkal,Laptop theft from unattended vehicle at parking lot,PI Suresh Naik,15.3913,75.1249
INC-155,Bengaluru Urban,Drug Offense,High,Closed,2025-09-18,BTM Layout,NDPS seizure — contraband recovered during vehicle checkpoint,PSI Harish B.,12.9554,77.6313
INC-156,Hubballi-Dharwad,Cybercrime,Critical,Closed,2025-09-21,Unkal,UPI fraud — victim lost money via fake payment request link,PI Shweta Rao,15.3164,75.1335
INC-157,Hubballi-Dharwad,Burglary,Medium,Under Investigation,2025-09-23,Station Road,Office burglary — computer equipment and documents stolen,ASI Sunitha M.,15.3593,75.0827
INC-158,Kodagu,Theft,Medium,Under Investigation,2025-09-27,Madikeri Town,Copper wire theft from construction site reported by site supervisor,ASI Sunitha M.,12.4493,75.7521
INC-159,Haveri,Burglary,High,Under Investigation,2025-10-01,Haveri Town,House break-in while family was away on vacation,PSI Anitha Reddy,14.7566,75.4229
INC-160,Bengaluru Urban,Murder,Critical,Closed,2025-10-05,Koramangala,Contract killing suspected in business rivalry case,PSI Rajesh Kumar,12.9987,77.5845
INC-161,Hubballi-Dharwad,Cybercrime,Critical,Under Investigation,2025-10-06,Unkal,UPI fraud — victim lost money via fake payment request link,ASI Kavitha B.N.,15.4088,75.1161
INC-162,Bengaluru Urban,Domestic Violence,Medium,Under Investigation,2025-10-09,MG Road,Domestic assault during family dispute — victim hospitalized,PSI Ramesh H.R.,12.9216,77.6135
INC-163,Hubballi-Dharwad,Robbery,High,Closed,2025-10-09,Gokul Road,Snatch-and-run robbery of business cash collection,PI Mohan Gowda,15.3684,75.157
INC-164,Bagalkot,Fraud,High,Open,2025-10-10,Vidyagiri,Matrimonial fraud extracting money from victim family,PSI Vijay Patil,16.1696,75.7187
INC-165,Mandya,Robbery,High,Open,2025-10-19,Pandavapura,Snatch-and-run robbery of business cash collection,PSI Vijay Patil,12.5717,76.8682
INC-166,Tumakuru,Cybercrime,High,Open,2025-10-20,B.H. Road,Phishing attack compromised corporate email credentials,PSI Vijay Patil,13.3287,77.1586
INC-167,Hassan,Robbery,High,Under Investigation,2025-10-23,Campus Area,Highway robbery of cash-carrying courier van,ASI Lakshmi Devi,13.0016,76.0826
INC-168,Mysuru,Robbery,Critical,Open,2025-10-27,Bannimantap,Highway robbery of cash-carrying courier van,ASI Sunitha M.,12.2931,76.683
INC-169,Raichur,Domestic Violence,High,Closed,2025-10-28,Mantralayam Road,Domestic violence complaint filed by spouse at police station,ASI Priya Shetty,16.2503,77.2965
INC-170,Shivamogga,Theft,Low,Closed,2025-10-29,Vinoba Nagar,Mobile phone snatching near bus stand by motorcycle-borne offenders,ASI Manjunath S.,13.9138,75.5777
INC-171,Mysuru,Theft,Low,Closed,2025-10-31,Vijayanagar,Cash theft from shop counter while owner was distracted,PSI Arun Kulkarni,12.3281,76.6325
INC-172,Hassan,Domestic Violence,High,Closed,2025-10-31,Arsikere Road,Domestic violence complaint filed by spouse at police station,PSI Ramesh H.R.,13.0485,76.0793
INC-173,Koppal,Cybercrime,Medium,Open,2025-11-01,Gangavathi Road,UPI fraud — victim lost money via fake payment request link,PI Ganesh Murthy,15.3324,76.1866
